Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_ProSignal_ABT-410-RC,1,Buzzer,
C1,0805,1,10u,
C2,0805,1,22u,
"C3, C4, C5",0805,3,100n,
D1,0805,1,CHRG_LED,
D2,D_SOD-123,1,MBR0520,
D3,LED_WS2812B-2020_2.0x2.0mm,1,WS2812B-2020,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C,
J2,PinSocket_1x04_P2.54mm_Vertical,1,BREAKOUT,
J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,JST PH 2.0,
L1,1008,1,CVH252009-2R2M,
"Q1, Q2, Q3, Q4, Q5",SOT-23-3,5,MMBT2222A,
"R1, R18, R19, R20, R21, R3",0805,6,1k,
"R10, R11, R12, R13, R14, R15, R16, R17",0805,8,220R,
"R2, R4",0805,2,5k1 1%,
R5,0805,1,47R,
R6,0805,1,1R,
R7,0805,1,2k 1%,
R8,0805,1,10k 1%,
R9,0805,1,300R,
SW1,SW_Slide_SPDT_MINI,1,VOLUME,
SW2,SW_Slide_SPDT_MINI,1,FUNCTION_SELECTOR,
SW3,SW_Slide_SPDT_MINI,1,ON/OFF,
SW4,SW_PUSH_6mm,1,SECONDS,
SW5,SW_PUSH_6mm,1,MINUTES,
SW6,SW_PUSH_6mm,1,RESET_TIME,
SW7,SW_PUSH_6mm,1,START/STOP,
TH1,PinSocket_1x02_P2.54mm_Vertical,1,NRBE104F3435B2F,
U1,SOT-23-5,1,DIO5518B,
U2,SOT-23-5,1,TPS613222ADBV,
U3,TQFP-32_7x7mm_P0.8mm,1,ATmega4808-A,
U4,CA56-12EWA,1,LTC-5723HR,
